uniprot_id,interpro_superfamily_id,interpro_superfamily_name,superfamily_uniprot_residues,n_pdb_ids_total_for_uniprot,n_pdb_ids_overlapping,pdb_ids_overlapping,notes
D3WAF4,,,,1,,6obk,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
G1K3N3,,,,1,,2lc2,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
G1K3S4,,,,2,,3zgk; 3zr8,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
H6WEV7,IPR043502,DNA/RNA polymerase superfamily,1188-1666,1,0,,(note: IPR043504 present in raw ID list but not found in reference entry.list; excluded from analysis)
H6WEV7,IPR027417,P-loop containing nucleoside triphosphate hydrolase,435-629,1,0,,(note: IPR043504 present in raw ID list but not found in reference entry.list; excluded from analysis)
H6WEV7,IPR009003,"Peptidase S1, PA clan",1005-1164,1,0,,(note: IPR043504 present in raw ID list but not found in reference entry.list; excluded from analysis)
H6WEV7,IPR043128,Reverse transcriptase/Diguanylate cyclase domain,"1396-1446, 1452-1567",1,0,,(note: IPR043504 present in raw ID list but not found in reference entry.list; excluded from analysis)
I6V394,,,,2,,6e4j; 6ns8,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
O00257,IPR016197,Chromo-like domain superfamily,,3,3,2k28; 3i8z; 5epl,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O14776,IPR036517,FF domain superfamily,"653-780, 781-858, 888-1014, 1015-1081",29,14,2dod; 2doe; 2dof; 2e71; 2kiq; 2kis; 3hfh; 4fqg; 7abf; 7abg; 8q7n; 8qo9; 9r3d; 9r8v,
O14776,IPR036020,WW domain superfamily,"136-168, 434-466, 523-561",29,20,2dk7; 2mw9; 2mwa; 2mwb; 2mwd; 2mwe; 2mwf; 2n4r; 2n4s; 2n4t; 2n4u; 2n4v; 2n4w; 2nnt; 7abf; 7abg; 8q7n; 8qo9; 9r3d; 9r8v,
O15259,IPR036028,SH3-like domain superfamily,,2,2,1s1n; 6o1q,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O22265,IPR036770,Ankyrin repeat-containing domain superfamily,122-265,10,7,1x32; 1x3q; 2hug; 3deo; 3dep; 3ui2; 5e4w,
O22265,IPR016197,Chromo-like domain superfamily,"81-132, 268-316, 322-370",10,10,1x32; 1x3p; 1x3q; 2hug; 2n88; 3deo; 3dep; 3ui2; 5e4w; 5e4x,
O25839,IPR038444,DUF465 superfamily,,1,1,1zhc,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O26789,IPR012340,"Nucleic acid-binding, OB-fold",,1,1,2k5h,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O31818,,,,3,,2hep; 2jvd; 3bhp,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
O45502,IPR008971,HSP40/DnaJ peptide-binding,"109-251, 253-338",1,0,,
O45502,IPR036410,"Heat shock protein DnaJ, cysteine-rich domain superfamily",133-204,1,0,,
O45502,IPR036869,Chaperone J-domain superfamily,2-106,1,1,2och,
O54790,IPR046347,Basic-leucine zipper domain superfamily,52-109,2,2,1k1v; 3a5t,
O54790,IPR008917,"Transcription factor, Skn-1-like, DNA-binding domain superfamily",24-64,2,2,1k1v; 3a5t,
O58204,IPR012340,"Nucleic acid-binding, OB-fold",,1,1,2exd,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O59021,IPR011053,Single hybrid motif,,7,7,2d5d; 2ejf; 2ejg; 2evb; 5gu8; 5gu9; 5gua,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O65570,IPR029006,ADF-H/Gelsolin-like domain superfamily,"7-132, 133-246, 247-357, 387-521, 522-612, 613-736",1,0,,
O65570,IPR036886,Villin headpiece domain superfamily,904-974,1,1,5vnt,
O67086,IPR035566,"Ribosomal protein bL20, C-terminal",,2,2,1gyz; 2ghj,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O75400,IPR036517,FF domain superfamily,"380-450, 452-597, 598-679, 736-812",12,5,1uzc; 2cqn; 2kzg; 2l9v; 2lks,
O75400,IPR036020,WW domain superfamily,145-214,12,7,1ywi; 1ywj; 1zr7; 2dyf; 2l5f; 8pxw; 8pxx,
O88544,IPR036388,Winged helix-like DNA-binding domain superfamily,289-369,1,1,1ufm,
O88544,IPR036390,Winged helix DNA-binding domain superfamily,294-365,1,1,1ufm,
O94993,IPR036910,High mobility group box domain superfamily,,1,1,7jjk,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O95071,IPR035983,"HECT, E3 ligase catalytic domain",2247-2792,11,10,1i2t; 3pt3; 8bja; 8c06; 8c07; 8d4x; 8e0q; 8ewi; 8p82; 8p83,
O95071,IPR036053,PABC (PABP) domain,2360-2458,11,9,1i2t; 8bja; 8c06; 8c07; 8d4x; 8e0q; 8ewi; 8p82; 8p83,
O95071,IPR009091,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,329-535,11,8,8bja; 8c06; 8c07; 8d4x; 8e0q; 8ewi; 8p82; 8p83,
O95155,IPR013083,"Zinc finger, RING/FYVE/PHD-type",,4,4,2kre; 3l1x; 3l1z; 5o75,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
O95931,IPR016197,Chromo-like domain superfamily,,9,9,2k1b; 2l12; 2l1b; 3gs2; 4mn3; 5epj; 6v2r; 8sii; 9v9p,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P00523,IPR011009,Protein kinase-like domain superfamily,256-526,142,72,2hwo; 2hwp; 2oiq; 2ptk; 2qi8; 2qlq; 2qq7; 3d7t; 3d7u; 3dqw; 3dqx; 3el7; 3el8; 3en4; 3en5; 3en6; 3en7; 3f3t; 3f3u; 3f3v; 3f3w; 3f6x; 3g5d; 3g6g; 3g6h; 3geq; 3lok; 3oez; 3of0; 3qlf; 3qlg; 3svv; 3tz7; 3tz8; 3tz9; 3u4w; 3u51; 3uqf; 3uqg; 4agw; 4dgg; 4fic; 4lgg; 4lgh; 4mcv; 4o2p; 4u5j; 4ybj; 4ybk; 5bmm; 5d10; 5d11; 5d12; 5j5s; 5k9i; 5swh; 5sys; 5t0p; 5teh; 5xp5; 5xp7; 6hve; 6hvf; 6l8l; 6wiw; 7ah3; 7d57; 7d5o; 7wf5; 8k79; 9bt8; 9v4e,
P00523,IPR036860,SH2 domain superfamily,113-287,142,142,1f1w; 1f2f; 1nlo; 1nlp; 1p13; 1prl; 1prm; 1rlp; 1rlq; 1srl; 1srm; 2hwo; 2hwp; 2oiq; 2ptk; 2qi8; 2qlq; 2qq7; 3d7t; 3d7u; 3dqw; 3dqx; 3el7; 3el8; 3en4; 3en5; 3en6; 3en7; 3f3t; 3f3u; 3f3v; 3f3w; 3f6x; 3fj5; 3g5d; 3g6g; 3g6h; 3geq; 3lok; 3oez; 3of0; 3qlf; 3qlg; 3svv; 3tz7; 3tz8; 3tz9; 3u4w; 3u51; 3uqf; 3uqg; 4agw; 4dgg; 4fic; 4hvu; 4hvv; 4hvw; 4jz3; 4jz4; 4le9; 4lgg; 4lgh; 4mcv; 4o2p; 4oml; 4omm; 4omn; 4omo; 4omp; 4omq; 4qt7; 4rtu; 4rtv; 4rtw; 4rtx; 4rty; 4rtz; 4u5j; 4ybj; 4ybk; 5bmm; 5d10; 5d11; 5d12; 5ec7; 5eca; 5i11; 5j5s; 5k9i; 5oav; 5ob0; 5ob1; 5ob2; 5swh; 5sys; 5t0p; 5teh; 5xp5; 5xp7; 6hve; 6hvf; 6l8l; 6wiw; 6xvm; 6xvn; 6xvo; 6xx2; 6xx3; 6xx4; 6xx5; 7a30; 7a31; 7a32; 7a33; 7a34; 7a35; 7a36; 7a37; 7a38; 7a39; 7a3a; 7a3b; 7a3c; 7a3d; 7a3e; 7ah3; 7d57; 7d5o; 7ner; 7nes; 7net; 7pvw; 7pvx; 7pvy; 7pvz; 7pw0; 7wf5; 8k79; 9bt8; 9cx3; 9cx9; 9v4e,
P00523,IPR036028,SH3-like domain superfamily,79-121,142,69,1nlo; 1nlp; 1prl; 1prm; 1rlp; 1rlq; 1srl; 1srm; 2ptk; 3fj5; 4hvu; 4hvv; 4hvw; 4jz3; 4jz4; 4le9; 4oml; 4omm; 4omn; 4omo; 4omp; 4omq; 4qt7; 4rtu; 4rtv; 4rtw; 4rtx; 4rty; 4rtz; 5ec7; 5eca; 5i11; 5oav; 5ob0; 5ob1; 5ob2; 6xvm; 6xvn; 6xvo; 6xx2; 6xx3; 6xx4; 6xx5; 7a30; 7a31; 7a32; 7a33; 7a34; 7a35; 7a36; 7a37; 7a38; 7a39; 7a3a; 7a3b; 7a3c; 7a3d; 7a3e; 7ner; 7nes; 7net; 7pvw; 7pvx; 7pvy; 7pvz; 7pw0; 9bt8; 9cx3; 9cx9,
P02417,IPR009027,"Large ribosomal subunit protein bL9/RNase H1, N-terminal",1-56,10,10,1cqu; 1div; 2hba; 2hbb; 2hvf; 487d; 4v42; 4v4r; 4v4s; 4v4t,
P02417,IPR036791,"Large ribosomal subunit protein bL9, C-terminal domain superfamily",57-149,10,6,1div; 487d; 4v42; 4v4r; 4v4s; 4v4t,
P02417,IPR036935,"Large ribosomal subunit protein bL9, N-terminal domain superfamily",1-52,10,10,1cqu; 1div; 2hba; 2hbb; 2hvf; 487d; 4v42; 4v4r; 4v4s; 4v4t,
P02640,IPR029006,ADF-H/Gelsolin-like domain superfamily,"2-126, 127-248, 249-363, 392-510, 514-607, 616-734",46,3,2llf; 2vik; 2vil,
P02640,IPR036180,Gelsolin-like domain superfamily,"123-232, 251-435",46,2,2vik; 2vil,
P02640,IPR036886,Villin headpiece domain superfamily,756-826,46,43,1qqv; 1vii; 1wy3; 1wy4; 1yrf; 1yri; 1yu5; 1yu7; 1yu8; 2f4k; 2jm0; 2ppz; 2rjv; 2rjw; 2rjx; 2rjy; 3mya; 3myc; 3mye; 3nkj; 3tjw; 3trv; 3trw; 3try; 4cz3; 4cz4; 5i1n; 5i1o; 5i1p; 5i1s; 9mf7; 9mf8; 9mf9; 9mfa; 9mfb; 9ylz; 9ym0; 9ym1; 9ym2; 9ym3; 9ym4; 9ym5; 9ym6,
P02836,IPR009057,Homeodomain-like superfamily,,15,15,1du0; 1enh; 1hdd; 1p7i; 1p7j; 1ztr; 2hdd; 2hos; 2hot; 2jwt; 2p81; 3hdd; 6fvc; 6m3d; 9yzq,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P02976,IPR009063,Immunoglobulin/albumin-binding domain superfamily,"38-92, 99-153, 154-211, 212-269, 270-327",41,41,1dee; 1h0t; 4y5z; 5u3d; 5u4y; 5u5f; 5u5m; 5u6a; 6b9y; 6b9z; 6bae; 6bah; 6k3m; 6k64; 6k65; 6k68; 6k6a; 6k6b; 6sow; 8da3; 8da4; 8da5; 8da6; 8da7; 8da8; 8da9; 8daa; 8dab; 8dac; 8r2p; 9bde; 9bdt; 9coo; 9fzm; 9hxs; 9m5d; 9m6j; 9m6o; 9qbj; 9qu4; 9w3k,
P02976,IPR036779,LysM domain superfamily,413-481,41,0,,
P03040,IPR038202,Regulatory protein cro superfamily,1-66,12,12,1cop; 1d1l; 1d1m; 1orc; 2a63; 2ecs; 2orc; 2ovg; 3orc; 4cro; 5cro; 6cro,
P03040,IPR010982,"Lambda repressor-like, DNA-binding domain superfamily",1-65,12,12,1cop; 1d1l; 1d1m; 1orc; 2a63; 2ecs; 2orc; 2ovg; 3orc; 4cro; 5cro; 6cro,
P03422,IPR016075,"RNA polymerase, phosphoprotein P, C-terminal XD, paramyxovirinae",,6,6,1oks; 2k9d; 9dus; 9dut; 9oce; 9ocf,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P03704,IPR038715,RNA polymerase inhibitor superfamily,,4,4,2lmc; 2wnm; 4lk0; 4llg,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P05434,IPR011992,EF-hand domain pair,,4,4,1oqp; 2ami; 3qrx; 8glv,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P05766,IPR009068,"uS15/NS1, RNA-binding domain superfamily",,2,2,1a32; 1qd7,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P06239,IPR011009,Protein kinase-like domain superfamily,231-500,57,38,1qpc; 1qpd; 1qpe; 1qpj; 2of2; 2of4; 2ofu; 2ofv; 2og8; 2pl0; 2zm1; 2zm4; 2zyb; 3ac1; 3ac2; 3ac3; 3ac4; 3ac5; 3ac8; 3acj; 3ack; 3ad4; 3ad5; 3ad6; 3b2w; 3brh; 3bym; 3byo; 3bys; 3byu; 3kmm; 3kxz; 3lck; 3mpm; 4c3f; 5mtm; 5mtn; 6pdj,
P06239,IPR036860,SH2 domain superfamily,120-265,57,52,1bhf; 1bhh; 1cwd; 1cwe; 1fbz; 1h92; 1ijr; 1kik; 1lcj; 1lck; 1lkk; 1lkl; 1qpc; 1qpd; 1qpe; 1qpj; 1x27; 2of2; 2of4; 2ofu; 2ofv; 2og8; 2pl0; 2zm1; 2zm4; 2zyb; 3ac1; 3ac2; 3ac3; 3ac4; 3ac5; 3ac8; 3acj; 3ack; 3ad4; 3ad5; 3ad6; 3b2w; 3bym; 3byo; 3bys; 3byu; 3kmm; 3kxz; 3lck; 3mpm; 4c3f; 4d8k; 5mtm; 5mtn; 6pdj; 8x2p,
P06239,IPR036028,SH3-like domain superfamily,51-172,57,18,1bhf; 1bhh; 1cwd; 1cwe; 1fbz; 1h92; 1ijr; 1kik; 1lcj; 1lck; 1lkk; 1lkl; 1x27; 2iim; 4d8k; 5mtm; 5mtn; 8x2p,
P06241,IPR011009,Protein kinase-like domain superfamily,258-529,53,3,10dj; 2dq7; 2mrk,
P06241,IPR036860,SH2 domain superfamily,140-291,53,53,10dj; 1a0n; 1aot; 1aou; 1avz; 1azg; 1efn; 1fyn; 1g83; 1m27; 1nyf; 1nyg; 1shf; 1zbj; 2dq7; 2mqi; 2mrj; 2mrk; 3h0f; 3h0h; 3h0i; 3ua6; 3ua7; 4d8d; 4eik; 4u17; 4u1p; 4znx; 5zau; 6edf; 6ipy; 6ipz; 7a2j; 7a2k; 7a2l; 7a2m; 7a2n; 7a2o; 7a2p; 7a2q; 7a2r; 7a2s; 7a2t; 7a2u; 7a2v; 7a2w; 7a2x; 7a2y; 7a2z; 7ud6; 8kdx; 9ghk; 9pgz,
P06241,IPR036028,SH3-like domain superfamily,68-195,53,51,1a0n; 1aot; 1aou; 1avz; 1azg; 1efn; 1fyn; 1g83; 1m27; 1nyf; 1nyg; 1shf; 1zbj; 2mqi; 2mrj; 2mrk; 3h0f; 3h0h; 3h0i; 3ua6; 3ua7; 4d8d; 4eik; 4u17; 4u1p; 4znx; 5zau; 6edf; 6ipy; 6ipz; 7a2j; 7a2k; 7a2l; 7a2m; 7a2n; 7a2o; 7a2p; 7a2q; 7a2r; 7a2s; 7a2t; 7a2u; 7a2v; 7a2w; 7a2x; 7a2y; 7a2z; 7ud6; 8kdx; 9ghk; 9pgz,
P06654,IPR009063,Immunoglobulin/albumin-binding domain superfamily,,51,51,1em7; 1gb1; 1igc; 1igd; 1le3; 1mpe; 1mvk; 1pga; 1pgb; 1pgx; 1pn5; 1q10; 2gb1; 2igd; 2igh; 2j52; 2j53; 2k0p; 2kbt; 2klk; 2lgi; 2mbb; 2n7j; 2nmq; 2plp; 2rmm; 2rpv; 3gb1; 3mp9; 4kgr; 4kgs; 4kgt; 6cne; 6l91; 6l9b; 6l9d; 6lji; 6v9i; 7qtr; 7qts; 7rxc; 7rxd; 8jxr; 8jxs; 8t0g; 9bdt; 9coo; 9g4t; 9ja5; 9ja6; 9w3k,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P07751,IPR011992,EF-hand domain pair,2314-2450,62,0,,
P07751,IPR036028,SH3-like domain superfamily,967-1028,62,57,1aey; 1bk2; 1e6g; 1e6h; 1e7o; 1g2b; 1h8k; 1hd3; 1m8m; 1neg; 1pwt; 1qkw; 1qkx; 1shg; 1tuc; 1tud; 1u06; 1uue; 2cdt; 2f2v; 2f2w; 2f2x; 2jm8; 2jm9; 2jma; 2jmc; 2kr3; 2kxd; 2lj3; 2nuz; 2oaw; 2rmo; 2rot; 3i9q; 3m0p; 3m0q; 3m0r; 3m0s; 3m0t; 3m0u; 3ngp; 4f16; 4f17; 5ihi; 5ihk; 5ihn; 7s4r; 8cf4; 8chg; 8chh; 9eyb; 9eyc; 9eye; 9eyf; 9ih6; 9ih7; 9iha,
P07948,IPR011009,Protein kinase-like domain superfamily,234-500,6,2,3a4o; 5xy1,
P07948,IPR036860,SH2 domain superfamily,120-267,6,6,1w1f; 1wa7; 3a4o; 5xy1; 6nmw; 8wff,
P07948,IPR036028,SH3-like domain superfamily,64-149,6,4,1w1f; 1wa7; 6nmw; 8wff,
P08631,IPR011009,Protein kinase-like domain superfamily,249-518,42,27,1ad5; 1qcf; 2c0i; 2c0o; 2c0t; 2hck; 2hk5; 3nhn; 3vry; 3vrz; 3vs0; 3vs1; 3vs2; 3vs3; 3vs4; 3vs5; 3vs6; 3vs7; 4lud; 4lue; 5h09; 5h0b; 5h0e; 5h0g; 5h0h; 5zj6; 9byj,
P08631,IPR036860,SH2 domain superfamily,135-281,42,42,1ad5; 1bu1; 1qcf; 2c0i; 2c0o; 2c0t; 2hck; 2hk5; 2oi3; 2oj2; 3hck; 3nhn; 3rbb; 3rea; 3reb; 3vry; 3vrz; 3vs0; 3vs1; 3vs2; 3vs3; 3vs4; 3vs5; 3vs6; 3vs7; 4hck; 4lud; 4lue; 4orz; 4u5w; 5h09; 5h0b; 5h0e; 5h0g; 5h0h; 5hck; 5nuh; 5zj6; 8f2p; 9byj; 9y58; 9y9k,
P08631,IPR036028,SH3-like domain superfamily,81-163,42,40,1ad5; 1bu1; 1qcf; 2c0i; 2c0o; 2c0t; 2hck; 2oi3; 2oj2; 3hck; 3nhn; 3rbb; 3rea; 3reb; 3vry; 3vrz; 3vs0; 3vs1; 3vs2; 3vs3; 3vs4; 3vs5; 3vs6; 3vs7; 4hck; 4lud; 4lue; 4orz; 4u5w; 5h09; 5h0b; 5h0e; 5h0g; 5h0h; 5hck; 5nuh; 8f2p; 9byj; 9y58; 9y9k,
P0A355,IPR012340,"Nucleic acid-binding, OB-fold",,2,2,2lxj; 2lxk,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P0A6D0,IPR036251,"Arginine repressor, C-terminal domain superfamily",82-151,4,3,1xxa; 1xxb; 1xxc,
P0A6D0,IPR036388,Winged helix-like DNA-binding domain superfamily,1-74,4,1,1aoy,
P0A6D0,IPR036390,Winged helix DNA-binding domain superfamily,3-77,4,1,1aoy,
P0A9X9,IPR012340,"Nucleic acid-binding, OB-fold",,5,5,1mjc; 2l15; 30ib; 3mef; 8rxe,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P0AAN5,IPR038462,YaiA-like superfamily,,1,1,2kvt,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
P0AFF6,IPR010995,"DNA repair Rad51/transcription factor NusA, alpha-helical","355-414, 429-492",62,61,1u9l; 1wcl; 1wcn; 2jzb; 5lm7; 5lm9; 5ms0; 6flq; 6gov; 6ib8; 6tqn; 6tqo; 6x6t; 6x7f; 6x7k; 6x9q; 6xas; 6xav; 6xdq; 6z9p; 6z9q; 6z9r; 6z9s; 6z9t; 7adb; 7adc; 7add; 7ade; 7py3; 7py5; 7py6; 7py7; 7pyj; 7pyk; 7ubn; 8pil; 8uqm; 8ur0; 8uri; 8ury; 8vkv; 8vl1; 8voo; 8vop; 8voq; 8vor; 8vos; 8y5l; 8y5m; 8y5o; 8y5p; 8y5q; 8y5r; 8y5s; 8y5t; 8yde; 8ydf; 8ydg; 8ydh; 8ydi; 8ydj,
P0AFF6,IPR015946,"K homology domain-like, alpha/beta","199-277, 278-343",62,56,5lm7; 5lm9; 5ms0; 6flq; 6gov; 6tqn; 6tqo; 6x6t; 6x7f; 6x7k; 6x9q; 6xas; 6xav; 6xdq; 6z9p; 6z9q; 6z9r; 6z9s; 6z9t; 7adb; 7adc; 7add; 7ade; 7py3; 7py5; 7py6; 7py7; 7pyj; 7pyk; 7ubn; 8pil; 8uqm; 8ur0; 8uri; 8ury; 8vkv; 8vl1; 8voo; 8vop; 8voq; 8vor; 8vos; 8y5l; 8y5m; 8y5o; 8y5p; 8y5q; 8y5r; 8y5s; 8y5t; 8yde; 8ydf; 8ydg; 8ydh; 8ydi; 8ydj,
P0AFF6,IPR009019,"K homology domain superfamily, prokaryotic type","201-278, 279-343",62,56,5lm7; 5lm9; 5ms0; 6flq; 6gov; 6tqn; 6tqo; 6x6t; 6x7f; 6x7k; 6x9q; 6xas; 6xav; 6xdq; 6z9p; 6z9q; 6z9r; 6z9s; 6z9t; 7adb; 7adc; 7add; 7ade; 7py3; 7py5; 7py6; 7py7; 7pyj; 7pyk; 7ubn; 8pil; 8uqm; 8ur0; 8uri; 8ury; 8vkv; 8vl1; 8voo; 8vop; 8voq; 8vor; 8vos; 8y5l; 8y5m; 8y5o; 8y5p; 8y5q; 8y5r; 8y5s; 8y5t; 8yde; 8ydf; 8ydg; 8ydh; 8ydi; 8ydj,
P0AFF6,IPR012340,"Nucleic acid-binding, OB-fold",132-199,62,56,5lm7; 5lm9; 5ms0; 6flq; 6gov; 6tqn; 6tqo; 6x6t; 6x7f; 6x7k; 6x9q; 6xas; 6xav; 6xdq; 6z9p; 6z9q; 6z9r; 6z9s; 6z9t; 7adb; 7adc; 7add; 7ade; 7py3; 7py5; 7py6; 7py7; 7pyj; 7pyk; 7ubn; 8pil; 8uqm; 8ur0; 8uri; 8ury; 8vkv; 8vl1; 8voo; 8vop; 8voq; 8vor; 8vos; 8y5l; 8y5m; 8y5o; 8y5p; 8y5q; 8y5r; 8y5s; 8y5t; 8yde; 8ydf; 8ydg; 8ydh; 8ydi; 8ydj,
P0AFF6,IPR036555,"NusA, N-terminal domain superfamily",1-129,62,57,2kwp; 5lm7; 5lm9; 5ms0; 6flq; 6gov; 6tqn; 6tqo; 6x6t; 6x7f; 6x7k; 6x9q; 6xas; 6xav; 6xdq; 6z9p; 6z9q; 6z9r; 6z9s; 6z9t; 7adb; 7adc; 7add; 7ade; 7py3; 7py5; 7py6; 7py7; 7pyj; 7pyk; 7ubn; 8pil; 8uqm; 8ur0; 8uri; 8ury; 8vkv; 8vl1; 8voo; 8vop; 8voq; 8vor; 8vos; 8y5l; 8y5m; 8y5o; 8y5p; 8y5q; 8y5r; 8y5s; 8y5t; 8yde; 8ydf; 8ydg; 8ydh; 8ydi; 8ydj,
P0AFG6,IPR023213,Chloramphenicol acetyltransferase-like domain superfamily,159-402,12,5,1c4t; 1e2o; 1scz; 6pbr; 9dz8,
P0AFG6,IPR036625,E3-binding domain superfamily,103-153,12,6,1bal; 1bbl; 1w4h; 2btg; 2bth; 2wxc,
P0AFG6,IPR011053,Single hybrid motif,2-95,12,1,1pmr,
P0AFW0,IPR036735,"NusG, N-terminal domain superfamily",,23,23,2lcl; 2oug; 5ond; 6c6s; 6c6t; 8pen; 8pfg; 8pfj; 8phk; 8pib; 8pid; 8pil; 8pim; 8upo; 8upr; 8uql; 8uqm; 8uqp; 8ur0; 8urh; 8uri; 8urx; 8ury,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
